,,,,
,補助科目,施策科目,意味・具体例,留意事項・必要報告等
,ウ. コンテンツ制作費,写真・動画等素材制作,Webサイトや広告等に使用する視覚素材を制作するもの。例：製品写真、設備写真、会社紹介動画、商品紹介動画、図表・イラスト制作など,Webマーケティング実施報告書に、制作素材、掲載箇所、使用目的を記載する。デジタルカメラ、PC、タブレット、スマートフォン等の機器購入費は計上しない。
,ウ. コンテンツ制作費,商品・サービスデータ整備,ECや製品ページ等に掲載する商品・サービス情報を整理・作成するもの。例：商品説明文、仕様情報、価格情報、商品画像、商品マスタ整備など,Webマーケティング実施報告書に、整備したデータ内容、掲載先、使用目的を記載する。販売手数料、決済手数料、在庫管理費、物流費、ECモール等の月額出店料は計上しない。
,ウ. コンテンツ制作費,その他コンテンツ制作,上記に当てはまらないWeb掲載用コンテンツ制作,Webマーケティング実施報告書に、制作内容、掲載先、使用目的を記載する。納品物と掲載・活用状況を確認資料として整理する。
,エ. データ計測構築費,効果測定・改善環境整備,Webサイトの利用状況や改善点を把握するための計測・確認環境を整えるもの。例：GA4設定、タグ設定、アクセス解析設定、ダッシュボード作成など,計測設定報告書を提出する。アクセス元、閲覧状況、主要ページ、改善確認方法が分かる管理画面キャプチャ等を添付する。分析ツールの月額利用料は計上しない。
,エ. データ計測構築費,成果計測設定,問い合わせ、資料請求、購入、電話クリックなど、成果につながる行動を計測できるようにするもの。例：CV設定、フォーム送信計測、電話クリック計測など,計測設定報告書を提出する。コンバージョン等が正しく計測されていることを確認できる管理画面キャプチャ等を添付する。
,エ. データ計測構築費,その他データ計測構築,上記に当てはまらない計測・分析環境の整備,計測設定報告書を提出する。計測目的、設定内容、確認方法、改善への活用方法を記載する。
,オ. 広告宣伝費,認知・接点形成広告,まだ接点のない顧客に会社・商品・サービスを知ってもらい、WebサイトやLP等への接点を作る広告。例：SNS広告、ディスプレイ広告、動画広告など,広告宣伝費のみの計画は不可。 広告運用実績レポートを提出する。出稿媒体、期間、費用、表示回数、クリック数等を記載する。データ計測・分析等の取組と整合させる。対象期間外の広告運用・出稿費用は計上しない。
,オ. 広告宣伝費,問い合わせ・申込獲得広告,問い合わせ、資料請求、見積依頼、予約、セミナー申込、展示会来場予約などの具体的な行動につなげる広告。例：検索広告、LP誘導広告など,広告宣伝費のみの計画は不可。 広告運用実績レポートを提出する。広告の目的、誘導先、成果指標、出稿媒体、期間、費用、クリック数、成果数等を記載する。対象期間外の広告運用・出稿費用は計上しない。
,オ. 広告宣伝費,再接触・検討促進広告,一度WebサイトやLP等に接触した人、または検討段階にある人に再度接触し、比較・検討・問い合わせ等を促す広告。例：リターゲティング広告、事例訴求広告など,広告宣伝費のみの計画は不可。 広告運用実績レポートを提出する。配信対象、出稿媒体、期間、費用、表示回数、クリック数等を記載する。広告タグ・計測設定との関係を記載する。
,オ. 広告宣伝費,広告素材制作,広告配信に必要な素材を制作するもの。例：広告文、バナー、動画広告素材、広告用画像、SNS広告クリエイティブなど,広告運用実績レポートまたはWebマーケティング実施報告書に、制作素材、使用媒体を記載する。広告配信に使用した素材を確認資料として整理する。
,オ. 広告宣伝費,広告運用・効果改善,広告の配信設計、入稿、予算調整、効果確認、改善運用を行うもの。例：広告運用代行、配信設定、レポート確認、改善提案など,広告運用実績レポートを提出する。運用期間、運用内容、媒体費、運用代行費、表示回数、クリック数、成果数等を記載する。対象期間外の広告運用・出稿費用は計上しない。
,オ. 広告宣伝費,その他広告宣伝,上記に当てはまらない広告宣伝施策,広告宣伝費のみの計画は不可。 広告運用実績レポートまたはWebマーケティング実施報告書に、広告目的、出稿内容、期間、費用、実績を記載する。データ計測・分析等の取組と整合させる。
,カ. 自走化・内製化支援費,運用支援・内製化支援,申請者が導入後に自社でWebサイトやWebマーケティングを運用できるように支援するもの。例：CMS操作説明、更新支援、アクセス解析の見方説明など,Webマーケティング実施報告書に、実施内容、実施日、対象者、使用資料、支援結果を記載する。Webサイトの月額保守費用、継続的な運用代行費は計上しない。
,カ. 自走化・内製化支援費,運用マニュアル整備,継続運用に必要な手順や確認方法を文書化するもの。例：Webサイト更新手順書、問い合わせ対応手順、アクセス解析確認手順など,Webマーケティング実施報告書に、作成したマニュアルの内容、対象業務、活用方法を記載する。納品された手順書・マニュアルを確認資料として整理する。
,カ. 自走化・内製化支援費,その他自走化・内製化支援,上記に当てはまらない自走化・内製化に関する支援,Webマーケティング実施報告書に、支援内容、目的、実施日、対象者、成果を記載する。継続的な外注費、月額保守費用は計上しない。
,キ. その他,その他,上記のいずれにも明確に当てはまらないが、本事業の目的達成のために必要と認められる施策,事業実施者が特に必要と認めた経費として整理する。Webマーケティング実施報告書に、施策内容、必要性、事業目的との関係、成果を記載する。
